date,new_cases,new_deaths,new_tests
2020-07-03,2297,95,4088
2020-07-04,3070,58,7344
2020-07-05,2033,16,18904
2020-07-06,912,9,19767
2020-07-07,1692,63,13467
2020-07-08,3894,25,14414
2020-07-09,119,5,2184
2020-07-10,3931,38,10349
2020-07-11,4924,44,8099
2020-07-12,3108,88,5075
2020-07-13,1772,25,17354
2020-07-14,3562,13,4945
2020-07-15,845,30,2243
2020-07-16,2203,59,11199
2020-07-17,2864,83,15055
2020-07-18,2830,1,13007
2020-07-19,2055,81,4437
2020-07-20,1161,58,18464
2020-07-21,867,32,4852
2020-07-22,1210,60,11600
2020-07-23,2334,59,14525
2020-07-24,4534,42,6006
2020-07-25,1525,76,1872
2020-07-26,2459,36,15184
2020-07-27,1296,34,5230
2020-07-28,4518,94,12105
2020-07-29,1739,47,4000
2020-07-30,2890,62,12033
2020-07-31,3789,23,4747
2020-08-01,2942,95,16801
2020-08-02,4522,91,11319
2020-08-03,3780,50,6296
2020-08-04,4308,89,8249
2020-08-05,3677,24,17628
2020-08-06,2056,23,8906
2020-08-07,4698,10,14595
2020-08-08,4642,62,17718
2020-08-09,3460,13,11885
2020-08-10,4149,61,13367
2020-08-11,3862,99,6226
2020-08-12,3286,71,4714
2020-08-13,2909,80,9159
2020-08-14,1421,71,19947
2020-08-15,4911,81,7343
2020-08-16,1012,45,4329
2020-08-17,2845,35,15372
2020-08-18,3955,53,4594
2020-08-19,3045,30,10966
2020-08-20,3927,90,7867
2020-08-21,4701,3,14691
2020-08-22,2724,70,18432
2020-08-23,3419,90,14333
2020-08-24,3708,79,19010
2020-08-25,91,4,13366
2020-08-26,2169,91,13921
2020-08-27,3091,77,11793
2020-08-28,2284,89,11727
2020-08-29,1752,87,13785
2020-08-30,2181,35,7359
2020-08-31,5,0,14872
2020-09-01,2502,55,14640
2020-09-02,1914,90,19509
2020-09-03,3449,53,9508
2020-09-04,1353,22,16583
2020-09-05,3628,42,18888
2020-09-06,1651,3,10376
2020-09-07,2441,85,11911
2020-09-08,2468,27,8621
2020-09-09,3444,60,3962
2020-09-10,796,6,11899
2020-09-11,2809,62,8121
2020-09-12,42,2,3874
2020-09-13,1252,23,13841
2020-09-14,2717,55,3798
2020-09-15,1192,9,12515
2020-09-16,1984,28,8081
2020-09-17,1667,68,2224
2020-09-18,4951,89,15328
2020-09-19,1007,50,15247
2020-09-20,2391,18,12918
2020-09-21,1279,36,2244
2020-09-22,2841,39,18336
2020-09-23,4747,99,12997
2020-09-24,2096,0,2914
2020-09-25,28,1,5539
2020-09-26,2295,26,17070
2020-09-27,819,40,17847
2020-09-28,803,34,6892
2020-09-29,1900,8,6795
2020-09-30,2031,90,15524
2020-10-01,2283,27,10803
2020-10-02,3413,14,4917
2020-10-03,2401,72,18977
2020-10-04,369,18,18086
2020-10-05,951,47,19382
2020-10-06,4046,94,9375
2020-10-07,3549,90,16798
2020-10-08,3181,48,12261
2020-10-09,4673,12,17702
2020-10-10,367,18,18184
2020-10-11,502,25,5270
2020-10-12,2453,31,12130
2020-10-13,132,6,16901
2020-10-14,1411,21,6257
2020-10-15,695,34,15247
2020-10-16,4547,86,9143
2020-10-17,546,27,10630
2020-10-18,571,28,9117
2020-10-19,661,33,5645
2020-10-20,4539,70,8440
2020-10-21,1673,50,19795
2020-10-22,4421,87,10531
2020-10-23,2734,6,9933
2020-10-24,1488,63,14452
2020-10-25,2189,27,17033
2020-10-26,388,19,15369
2020-10-27,1398,69,2829
2020-10-28,808,40,7187
2020-10-29,1542,64,15119
2020-10-30,2074,44,7444
2020-10-31,4699,31,12549
2020-11-01,4268,6,10989
2020-11-02,236,11,3406
2020-11-03,2104,21,13206
2020-11-04,1060,13,9426
2020-11-05,3297,7,9205
2020-11-06,138,6,10055
2020-11-07,1130,40,12514
2020-11-08,4834,5,18550
2020-11-09,2625,55,9310
2020-11-10,2186,39,15373
2020-11-11,3126,57,3679
2020-11-12,4630,57,15255
2020-11-13,1320,66,10861
2020-11-14,4674,94,19887
2020-11-15,3328,96,19966
2020-11-16,2285,58,9075
2020-11-17,3521,0,14966
2020-11-18,4901,100,7653
2020-11-19,1052,52,10576
2020-11-20,952,47,14135
2020-11-21,916,45,1028
2020-11-22,1746,64,15300
2020-11-23,4605,71,13882
2020-11-24,724,1,5116
2020-11-25,1822,21,5627
2020-11-26,1719,27,10328
2020-11-27,4497,67,11966
2020-11-28,1061,1,5430
2020-11-29,4801,60,15773
2020-11-30,3895,73,14877
2020-12-01,20,1,14944
2020-12-02,2173,45,2741
2020-12-03,2525,8,11791
2020-12-04,2856,54,19636
2020-12-05,2729,52,12012
2020-12-06,4968,33,12099
2020-12-07,3005,52,4791
2020-12-08,27,1,17300
2020-12-09,261,13,16375
2020-12-10,4102,43,12752
2020-12-11,403,20,6413
2020-12-12,2024,79,10412
2020-12-13,3972,33,17393
2020-12-14,4526,41,14112
2020-12-15,175,8,206
2020-12-16,2054,66,10254
2020-12-17,1855,33,11053
2020-12-18,4251,42,14002
2020-12-19,2951,22,13763
2020-12-20,1620,81,7380
2020-12-21,4056,69,11134
2020-12-22,2372,53,8175
2020-12-23,652,22,8579
2020-12-24,13,0,1039
2020-12-25,4305,66,18129
2020-12-26,173,8,3739
2020-12-27,2937,11,12830
2020-12-28,3861,51,12533
2020-12-29,3045,94,6621
2020-12-30,1834,91,7606
2020-12-31,4655,49,15755
2021-01-01,2430,86,16933
2021-01-02,4523,4,11168
2021-01-03,4930,20,15296
2021-01-04,2271,77,11744
2021-01-05,2664,80,9889
2021-01-06,4946,51,16241
2021-01-07,1236,61,12274
2021-01-08,122,6,3264
2021-01-09,2096,95,9866
2021-01-10,3541,66,15363
2021-01-11,4350,33,5594
2021-01-12,428,7,9366
2021-01-13,3051,55,11536
2021-01-14,4824,91,7111
2021-01-15,2732,13,9003
2021-01-16,1291,64,6423
2021-01-17,2271,17,12204
2021-01-18,4320,99,18668
2021-01-19,2850,47,10892
2021-01-20,4030,37,18125
2021-01-21,4210,21,11857
2021-01-22,3590,77,15962
2021-01-23,4146,11,8025
2021-01-24,1682,50,8967
2021-01-25,2839,61,6706
2021-01-26,4216,51,5758
2021-01-27,1218,45,12047
2021-01-28,260,13,8061
2021-01-29,2770,96,3679
2021-01-30,3529,14,11251
2021-01-31,530,26,16897
2021-02-01,4216,91,17104
2021-02-02,1717,15,18640
2021-02-03,230,11,6236
2021-02-04,2231,1,16274
2021-02-05,2999,25,18949
2021-02-06,1887,75,9555
2021-02-07,2003,46,14172
2021-02-08,478,23,11249
2021-02-09,3737,70,18682
2021-02-10,4708,33,18362
2021-02-11,512,11,10052
2021-02-12,3447,33,7820
2021-02-13,2963,4,17971
2021-02-14,1678,8,17167
2021-02-15,3044,81,7168
2021-02-16,1897,14,16633
2021-02-17,728,36,17834
2021-02-18,2008,22,13354
2021-02-19,1171,13,11187
2021-02-20,940,47,17138
2021-02-21,1375,62,16193
2021-02-22,4461,12,9427
2021-02-23,2245,21,12386
2021-02-24,4271,99,19697
2021-02-25,470,23,3989
2021-02-26,705,29,16705
2021-02-27,3771,29,7657
2021-02-28,3858,62,16160
2021-03-01,126,6,6958
2021-03-02,2326,88,18688
2021-03-03,1728,7,15851
2021-03-04,3801,25,13228
2021-03-05,3660,47,5877
2021-03-06,728,15,4419
2021-03-07,577,6,9170
2021-03-08,3013,89,18870
2021-03-09,1697,36,2897
2021-03-10,512,25,18146
2021-03-11,858,42,6044
2021-03-12,4090,14,7496
2021-03-13,424,4,9396
2021-03-14,3058,23,5603
2021-03-15,3898,1,8428
2021-03-16,4497,28,18214
2021-03-17,830,41,5705
2021-03-18,2235,75,19366
2021-03-19,4388,11,5460
2021-03-20,3968,41,15050
2021-03-21,4200,52,15613
2021-03-22,2871,13,14994
2021-03-23,2107,20,9669
2021-03-24,937,20,11639
2021-03-25,4793,52,13015
2021-03-26,3370,24,5717
2021-03-27,1574,78,3497
2021-03-28,1347,13,1382
2021-03-29,2573,11,7089
2021-03-30,3309,18,13081
2021-03-31,3579,70,4370
2021-04-01,3354,24,17827
2021-04-02,250,12,19526
2021-04-03,4050,96,17039
2021-04-04,1970,41,9607
2021-04-05,3186,91,19798
2021-04-06,1953,28,9680
2021-04-07,3597,46,7448
2021-04-08,3331,35,10208
2021-04-09,763,38,12266
2021-04-10,1602,79,9005
2021-04-11,2035,12,18121
2021-04-12,4633,63,4984
2021-04-13,3284,3,19279
2021-04-14,1953,47,9154
2021-04-15,1620,45,11171
2021-04-16,689,34,8878
2021-04-17,4489,35,14747
2021-04-18,3428,65,15882
2021-04-19,779,38,1620
2021-04-20,26,1,10485
2021-04-21,4951,96,5791
2021-04-22,610,0,13458
2021-04-23,1651,10,18380
2021-04-24,1038,18,6858
2021-04-25,663,33,8092
2021-04-26,3207,4,17546
2021-04-27,3427,74,4361
2021-04-28,4425,41,7820
2021-04-29,3647,79,5747
2021-04-30,56,2,10418
2021-05-01,2962,32,8459
2021-05-02,686,34,1619
2021-05-03,2200,37,16985
2021-05-04,1642,82,14081
2021-05-05,4017,5,10846
2021-05-06,3338,25,6128
2021-05-07,4379,58,4480
2021-05-08,4947,92,17437
2021-05-09,1044,5,6280
2021-05-10,1894,62,2995
2021-05-11,4289,48,4940
2021-05-12,1734,75,1825
2021-05-13,2556,6,18835
2021-05-14,2503,4,4713
2021-05-15,2647,21,10925
2021-05-16,2106,16,2955
2021-05-17,2176,56,3484
2021-05-18,1712,80,6509
2021-05-19,197,9,5600
2021-05-20,4151,77,6071
2021-05-21,3289,68,5848
2021-05-22,3031,38,14046
2021-05-23,1,0,19132
2021-05-24,213,1,4559
2021-05-25,333,16,16318
2021-05-26,3107,48,16080
2021-05-27,4808,78,16787
2021-05-28,4356,70,14093
2021-05-29,282,14,2851
2021-05-30,4987,48,18562
2021-05-31,4010,75,16166
2021-06-01,3095,94,6473
2021-06-02,946,47,9918
2021-06-03,4910,81,17491
2021-06-04,3139,22,14438
2021-06-05,3011,60,5840
2021-06-06,4550,24,13086
2021-06-07,3995,95,11250
2021-06-08,3898,48,4876
2021-06-09,4802,20,5021
2021-06-10,4662,71,8993
2021-06-11,2374,86,2786
2021-06-12,2046,44,3779
2021-06-13,1137,39,7815
2021-06-14,1675,7,9736
2021-06-15,3632,39,19602
2021-06-16,250,12,13594
2021-06-17,600,30,4038
2021-06-18,4179,100,19452
2021-06-19,2475,48,2490
2021-06-20,4851,10,15955
2021-06-21,2340,75,11392
2021-06-22,1487,55,5131
2021-06-23,3976,35,16913
2021-06-24,4786,6,6714
2021-06-25,1177,46,7324
2021-06-26,2312,88,11527
2021-06-27,3114,12,7288
2021-06-28,4125,8,16000
2021-06-29,3361,42,9505
2021-06-30,1495,74,13351
2021-07-01,3755,75,6275
2021-07-02,259,12,6306
2021-07-03,3302,51,6110
2021-07-04,3221,54,16825
2021-07-05,1937,64,9049
2021-07-06,3354,57,5320
2021-07-07,237,9,9412
2021-07-08,1306,65,5058
2021-07-09,4554,41,5125
2021-07-10,3001,22,18093
2021-07-11,4530,26,14781
2021-07-12,2347,49,19547
2021-07-13,1139,56,4746
2021-07-14,265,13,8431
2021-07-15,2343,3,15207
2021-07-16,3315,28,10271
2021-07-17,4480,47,9995
2021-07-18,1997,22,18895
2021-07-19,4715,80,13197
2021-07-20,37,1,3682
2021-07-21,2357,6,12768
2021-07-22,121,6,19467
2021-07-23,2379,27,3556
2021-07-24,517,8,10476
2021-07-25,2394,4,4069
2021-07-26,1909,13,18324
2021-07-27,260,13,9047
2021-07-28,2118,78,8674
2021-07-29,1020,51,7212
2021-07-30,2945,51,3802
2021-07-31,4579,20,13531
2021-08-01,2244,10,6102
2021-08-02,1853,64,17737
2021-08-03,2639,32,6071
2021-08-04,4963,94,19584
2021-08-05,4394,84,19427
2021-08-06,451,22,17363
2021-08-07,3573,87,11715
2021-08-08,4471,49,19331
2021-08-09,2837,21,19828
2021-08-10,1395,43,3062
2021-08-11,793,39,10225
2021-08-12,1624,49,13802
2021-08-13,4104,78,7919
2021-08-14,2672,19,16901
2021-08-15,376,18,6314
2021-08-16,1183,59,1352
2021-08-17,4491,44,16428
2021-08-18,4932,12,7594
2021-08-19,734,36,17613
2021-08-20,755,37,19132
2021-08-21,3924,91,5651
2021-08-22,1819,60,12243
2021-08-23,2389,44,12637
2021-08-24,4351,87,8536
2021-08-25,4856,98,9297
2021-08-26,4587,41,18443
2021-08-27,972,6,16617
2021-08-28,45,2,9627
2021-08-29,3347,69,19132
2021-08-30,4529,35,8869
2021-08-31,2888,50,4204
2021-09-01,1576,0,6472
2021-09-02,3235,92,6002
2021-09-03,4572,74,15960
2021-09-04,1112,55,15161
2021-09-05,63,3,675
2021-09-06,3453,4,4141
2021-09-07,947,47,10368
2021-09-08,476,23,15200
2021-09-09,4206,61,12066
2021-09-10,4805,17,18668
2021-09-11,1482,53,10005
2021-09-12,4533,22,15477
2021-09-13,4023,55,18592
2021-09-14,1330,66,5417
2021-09-15,3352,18,14184
2021-09-16,2651,79,7860
2021-09-17,2794,15,5142
2021-09-18,854,8,7616
2021-09-19,3275,73,14120
2021-09-20,4005,97,13017
2021-09-21,957,34,7216
2021-09-22,1764,33,18475
2021-09-23,1941,86,17348
2021-09-24,2829,52,7064
2021-09-25,4787,88,10980
2021-09-26,4949,40,18202
2021-09-27,905,45,19228
2021-09-28,1974,6,9948
2021-09-29,3095,9,8540
2021-09-30,464,23,1703
2021-10-01,1125,56,7788
2021-10-02,2724,56,9593
2021-10-03,1068,53,8252
2021-10-04,3896,23,8613
2021-10-05,341,17,1263
2021-10-06,1482,74,12142
2021-10-07,1555,29,7573
2021-10-08,3845,71,4304
2021-10-09,905,8,10134
2021-10-10,3861,86,17443
2021-10-11,250,12,19056
2021-10-12,3035,97,18742
2021-10-13,1060,14,15243
2021-10-14,1123,2,6271
2021-10-15,560,28,6933
2021-10-16,4568,66,13991
2021-10-17,4870,88,5570
2021-10-18,4028,74,18033
2021-10-19,1182,59,12818
2021-10-20,1717,20,12835
2021-10-21,3920,99,11853
2021-10-22,1183,29,12562
2021-10-23,3707,25,4989
2021-10-24,1562,15,18834
2021-10-25,3295,82,18241
2021-10-26,1830,91,2231
2021-10-27,1443,39,4049
2021-10-28,4501,28,12706
2021-10-29,1258,62,19359
2021-10-30,4431,87,15435
2021-10-31,4154,98,11799
2021-11-01,2894,61,18383
2021-11-02,4983,68,12529
2021-11-03,3159,65,6693
2021-11-04,1232,31,1381
2021-11-05,4274,56,12369
2021-11-06,399,19,18570
2021-11-07,1280,64,19247
2021-11-08,2900,88,13287
2021-11-09,124,6,3363
2021-11-10,1763,27,8514
2021-11-11,696,34,10029
2021-11-12,564,18,19493
2021-11-13,28,1,8189
2021-11-14,1570,6,9911
2021-11-15,4665,73,13381
2021-11-16,1395,52,4879
2021-11-17,1805,7,3577
2021-11-18,4529,15,16695
2021-11-19,1132,38,8449
2021-11-20,4102,73,9436
2021-11-21,1838,37,3831
2021-11-22,2645,27,7904
2021-11-23,3299,23,12012
2021-11-24,1458,72,15630
2021-11-25,1590,35,1818
2021-11-26,188,9,6894
2021-11-27,3426,88,12737
2021-11-28,4316,0,18100
2021-11-29,4231,53,17424
2021-11-30,2818,26,7309
2021-12-01,2400,44,15796
2021-12-02,3452,80,10043
2021-12-03,1208,50,12934
2021-12-04,2186,79,3639
2021-12-05,2819,92,15252
2021-12-06,3805,0,18719
2021-12-07,2307,69,9375
2021-12-08,4481,91,7401
2021-12-09,3768,70,13354
2021-12-10,324,16,11585
2021-12-11,3648,57,17915
2021-12-12,4820,94,6783
2021-12-13,2179,7,9368
2021-12-14,3895,30,5493
2021-12-15,3113,12,8779
2021-12-16,1427,28,14492
2021-12-17,4614,88,19609
2021-12-18,4689,3,6006
2021-12-19,4338,41,7210
2021-12-20,3720,35,17540
2021-12-21,414,20,18411
2021-12-22,7,0,332
2021-12-23,2247,57,8218
2021-12-24,2569,5,2958
2021-12-25,4907,41,7646
2021-12-26,2238,75,5368
2021-12-27,1366,47,1854
2021-12-28,4360,89,17765
2021-12-29,2118,71,15613
2021-12-30,130,6,8184
2021-12-31,1208,23,7473
2022-01-01,2582,84,14281
2022-01-02,3951,50,6001
2022-01-03,2114,27,2689
2022-01-04,1660,22,7821
2022-01-05,4446,15,9911
2022-01-06,536,26,18308
2022-01-07,3790,17,11953
2022-01-08,2677,3,6962
2022-01-09,623,31,9180
2022-01-10,2066,2,7405
2022-01-11,3765,33,14665
2022-01-12,4678,54,10643
2022-01-13,4113,52,15060
2022-01-14,461,23,15190
2022-01-15,2978,8,16097
2022-01-16,3971,62,6905
2022-01-17,1755,87,6582
2022-01-18,117,5,13079
2022-01-19,2723,4,2784
2022-01-20,1015,0,9183
2022-01-21,4690,46,6267
2022-01-22,682,18,15700
2022-01-23,3345,70,10586
2022-01-24,3768,69,12856
2022-01-25,2918,53,11497
2022-01-26,297,3,1166
2022-01-27,3119,48,12708
2022-01-28,745,37,11940
2022-01-29,3006,76,5587
2022-01-30,4268,18,8787
2022-01-31,3206,73,8318
2022-02-01,2596,92,14874
2022-02-02,1973,40,6329
2022-02-03,4900,3,15603
2022-02-04,4179,18,15513
2022-02-05,4045,46,7718
2022-02-06,1552,3,9017
2022-02-07,2391,56,15654
2022-02-08,2130,68,4467
2022-02-09,3440,96,3552
2022-02-10,4811,61,11149
2022-02-11,874,43,8151
2022-02-12,4451,83,12595
2022-02-13,746,37,19806
2022-02-14,411,20,3615
2022-02-15,1595,50,14064
2022-02-16,2554,63,8159
2022-02-17,3480,14,18078
2022-02-18,2314,27,11345
2022-02-19,4831,82,19183
2022-02-20,4148,20,12793
2022-02-21,613,30,10480
2022-02-22,2212,74,10202
2022-02-23,2212,33,5014
2022-02-24,4916,45,19026
2022-02-25,803,40,14162
2022-02-26,3043,28,10322
2022-02-27,1025,6,3134
2022-02-28,1602,69,5758
2022-03-01,3936,77,11709
2022-03-02,3078,67,17932
2022-03-03,1142,57,2664
2022-03-04,1563,21,4530
2022-03-05,461,22,7183
2022-03-06,2304,45,17281
2022-03-07,2281,88,5106
2022-03-08,3789,71,13789
2022-03-09,3496,93,12247
2022-03-10,3001,53,6212
2022-03-11,2883,49,5310
2022-03-12,2272,56,17855
2022-03-13,3706,9,19660
2022-03-14,1676,1,10085
2022-03-15,3987,21,6148
2022-03-16,1879,18,17145
2022-03-17,2072,74,6447
2022-03-18,2507,81,18335
2022-03-19,3805,99,18387
2022-03-20,4014,0,12713
2022-03-21,4056,28,9194
2022-03-22,233,11,12335
2022-03-23,1043,52,15368
2022-03-24,3182,15,13576
2022-03-25,4559,61,7258
2022-03-26,749,8,7631
2022-03-27,3085,55,4707
2022-03-28,4284,32,18628
2022-03-29,3480,19,19774
2022-03-30,1400,70,12490
2022-03-31,3924,69,12722
2022-04-01,2096,69,5482
2022-04-02,4969,85,8373
2022-04-03,1918,63,15046
2022-04-04,4244,95,7460
2022-04-05,122,6,17412
2022-04-06,2410,92,3101
2022-04-07,3049,12,6328
2022-04-08,4241,85,13209
2022-04-09,1199,59,4402
2022-04-10,925,27,6521
2022-04-11,4086,13,17959
2022-04-12,1229,61,1892
2022-04-13,1416,70,17141
2022-04-14,4171,17,9648
2022-04-15,714,35,8728
2022-04-16,508,25,3770
2022-04-17,940,47,6451
2022-04-18,810,40,13803
2022-04-19,3436,94,10415
2022-04-20,2652,93,18836
2022-04-21,1319,13,4620
2022-04-22,2572,51,19852
2022-04-23,1305,48,3280
2022-04-24,3029,18,19007
2022-04-25,1619,55,7779
2022-04-26,253,12,9109
2022-04-27,4319,13,19868
2022-04-28,765,38,5512
2022-04-29,583,17,11970
2022-04-30,2060,59,19173
2022-05-01,724,36,4974
2022-05-02,538,17,8094
2022-05-03,4046,28,12275
2022-05-04,2046,56,11792
2022-05-05,2468,97,7528
2022-05-06,898,29,4850
2022-05-07,1109,55,10250
2022-05-08,2683,6,19152
2022-05-09,1251,11,2968
2022-05-10,2117,41,11076
2022-05-11,1687,42,2356
2022-05-12,1586,79,8015
2022-05-13,195,9,17913
2022-05-14,3777,45,8565
2022-05-15,2223,81,10835
2022-05-16,4899,36,12915
2022-05-17,30,1,7707
2022-05-18,915,45,2051
2022-05-19,3905,78,4164
2022-05-20,1591,55,18348
2022-05-21,1737,77,11761
2022-05-22,2698,51,17736
2022-05-23,3715,8,17414
2022-05-24,1342,39,3546
2022-05-25,2444,28,15633
2022-05-26,1737,66,9207
2022-05-27,3830,24,10878
2022-05-28,811,40,15143
2022-05-29,1661,83,4447
2022-05-30,3358,22,3689
2022-05-31,3953,97,15506
2022-06-01,1938,6,2689
2022-06-02,3508,23,7138
2022-06-03,4365,91,12811
2022-06-04,3378,46,15003
2022-06-05,3126,81,14994
2022-06-06,3345,100,4255
2022-06-07,475,23,1450
2022-06-08,1108,55,5594
2022-06-09,4259,12,9150
2022-06-10,1875,51,10735
2022-06-11,2,0,14768
2022-06-12,3760,88,12088
2022-06-13,761,38,19296
2022-06-14,1140,57,19678
2022-06-15,93,4,14818
2022-06-16,1949,49,16685
2022-06-17,2619,53,17326
2022-06-18,4790,58,19200
2022-06-19,4500,77,11946
2022-06-20,4614,64,5203
2022-06-21,1818,90,9360
2022-06-22,855,42,4458
2022-06-23,2267,6,4764
2022-06-24,965,1,11906
2022-06-25,3290,88,5396
2022-06-26,4212,19,13203
2022-06-27,2918,10,12821
2022-06-28,843,31,3867
2022-06-29,2138,64,17485
2022-06-30,3428,69,8012
2022-07-01,4605,35,16395
2022-07-02,2126,7,5115
2022-07-03,1301,1,18861
2022-07-04,829,33,19487
2022-07-05,89,4,14908
2022-07-06,1784,32,14041
2022-07-07,3442,18,11292
2022-07-08,2662,38,12926
2022-07-09,2502,93,19740
2022-07-10,855,5,4422
2022-07-11,3323,42,12546
2022-07-12,2954,71,18386
2022-07-13,1571,68,18951
2022-07-14,4428,51,18196
2022-07-15,347,7,14656
2022-07-16,949,47,17290
2022-07-17,1111,55,15456
2022-07-18,4579,50,19915
2022-07-19,920,46,11368
2022-07-20,1238,33,8278
2022-07-21,295,14,4625
2022-07-22,2145,15,16651
2022-07-23,4583,35,16154
2022-07-24,949,47,14430
2022-07-25,4765,71,8868
2022-07-26,3935,9,10183
2022-07-27,136,2,11761
2022-07-28,2631,65,5369
2022-07-29,3313,65,9623
2022-07-30,807,40,10393
2022-07-31,247,12,5266
